Config,Dataset,PSNR,SSIM,UCE,C.Coeff,Images,ImageSize,BatchSize,NumBins,Datasets
cfg_01,BSD100,22.821907081604003,0.5940768080949783,0.08718820877373218,0.24767670650035142,100,"(84, 84)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_01,Set14,21.633667128426687,0.6115749776363373,0.09800797647663526,0.22460613599313156,14,"(84, 84)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_01,Set5,22.615816497802733,0.6821188926696777,0.12085769474506378,0.15421031042933464,5,"(84, 84)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_01,Urban100,20.62631803512573,0.5594226117432117,0.09022237595170736,0.17528481595451012,100,"(84, 84)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_02,BSD100,22.821907176971436,0.594076797068119,0.08718300936743617,0.2476958168298006,100,"(84, 84)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_02,Set14,21.633667128426687,0.6115749882800239,0.098004494660667,0.22462576760777406,14,"(84, 84)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_02,Set5,22.615816497802733,0.6821187973022461,0.12085413709282875,0.15419137999415397,5,"(84, 84)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_02,Urban100,20.626318016052245,0.5594226054102183,0.09021614803001285,0.1753115087444894,100,"(84, 84)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_03,BSD100,23.509387378692626,0.6126481568813325,0.07659369699656964,0.2848385880514979,100,"(128, 128)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_03,Set14,22.37628664289202,0.6269604840448925,0.08479719342929977,0.2556538257215704,14,"(128, 128)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_03,Set5,24.19465751647949,0.7403731226921082,0.09709547907114029,0.20086098164319993,5,"(128, 128)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_03,Urban100,20.863919286727906,0.5859416022896766,0.08569451674818993,0.19755527135916054,100,"(128, 128)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_04,BSD100,23.509394607543946,0.6126481139659882,0.07659684432670474,0.2848101262003183,100,"(128, 128)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_04,Set14,22.3762937273298,0.626960779939379,0.08480058344347137,0.25566880138857023,14,"(128, 128)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_04,Set5,24.1946720123291,0.7403730750083923,0.09709791019558907,0.20077047273516654,5,"(128, 128)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_04,Urban100,20.8639226436615,0.5859415298700332,0.08570151574909687,0.19753216922283173,100,"(128, 128)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_05,BSD100,24.28660367965698,0.6344992768764496,0.06683814278803765,0.3378988020122051,100,"(256, 256)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_05,Set14,23.612140927995956,0.6634147060768945,0.07253545549299036,0.2740571270031588,14,"(256, 256)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_05,Set5,26.784134292602538,0.7948812484741211,0.06828759759664535,0.3470541387796402,5,"(256, 256)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_05,Urban100,21.594371452331544,0.633385329246521,15.270301077254116,0.24966261990368366,100,"(256, 256)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_06,BSD100,24.28607572555542,0.634477106332779,0.06684199908748269,0.33784297309815886,100,"(256, 256)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_06,Set14,23.611493791852677,0.6633828048195157,0.0725451542862824,0.2740275865154607,14,"(256, 256)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_06,Set5,26.7834228515625,0.7948610544204712,0.0682909406721592,0.34693709313869475,5,"(256, 256)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_06,Urban100,21.59402364730835,0.6333700254559517,15.244800005126745,0.2496550122462213,100,"(256, 256)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_07,BSD100,23.981624927520752,0.6229998525977135,0.06394506558775902,0.333558063544333,100,"(320, 320)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_07,Set14,24.24161488669259,0.681701300399644,0.06849363978419985,0.2711596664573465,14,"(320, 320)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_07,Set5,28.02417411804199,0.8157313823699951,0.060392461344599725,0.36197940111160276,5,"(320, 320)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_07,Urban100,21.892003688812256,0.6527022206783295,1.2389083982817828,0.27191966528072953,100,"(320, 320)",1,15,"Set5, Set14, BSD100, Urban100"
cfg_08,BSD100,23.982155113220216,0.6230204635858536,0.06394382148049772,0.33356298588216304,100,"(320, 320)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_08,Set14,24.242203303745814,0.6817291634423392,0.06849097939474243,0.271168106634702,14,"(320, 320)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_08,Set5,28.02497787475586,0.8157512784004212,0.06039177253842354,0.3620392560958862,5,"(320, 320)",2,15,"Set5, Set14, BSD100, Urban100"
cfg_08,Urban100,21.892281761169432,0.6527161487936973,1.225810337178409,0.27190616029314696,100,"(320, 320)",2,15,"Set5, Set14, BSD100, Urban100"
